id;calories;proteins;fat;carbohydrate;name;composition;origin;food_category;is_national;region;
177;115;9,7;8,5;2,5;Tahu goreng;Kedelai;Jawa Timur;main_meal;1;Nasional;
178;328;12,6;19,9;24,6;Tahu telur;telur;Jawa Timur;main_meal;1;Nasional;
179;120;1,5;0,3;28,2;Talas bogor kukus;sayuran;Jawa Barat;main_meal;;Jawa Barat;
180;34;3,7;1,2;4,3;Taoge segar;sayuran;Jawa Timur;vegetable;;Jawa Timur;
181;172;3;0,5;37,5;Tapai ketan putih;sayuran;DI Yogyakarta;snack;;DI Yogyakarta;
182;169;1,4;0,3;40,2;Tapai singkong;sayuran;Jawa Timur;snack;;Jawa Timur;
183;73;5,7;1,3;4,2;Tempe Gembus;kedelai;Jawa Tengah;snack;;Jawa Tengah;
184;76;6,8;0,7;10,6;Tempe gembus yogya;kedelai;DI Yogyakarta;snack;;DI Yogyakarta;
185;328;18,4;23,2;12,8;Tempe Goreng ;kedelai;Jawa Timur;snack;1;Nasional;
186;143;12;5,5;11,4;Tempe kedelai + jagung;kedelai;Jawa Tengah;snack;;Jawa Tengah;
187;350;24,5;26,6;10,4;Tempe kedelai murni goreng;Kedelai;Jawa Timur;snack;;Jawa Timur;
188;201;20,8;8,8;13,5;Tempe kedelai murni mentah;Kedelai;Jawa Timur;snack;;Jawa Timur;
189;141;10,2;1,3;23,2;Tempe koro benguk;kedelai;Jawa Tengah;snack;;Jawa Tengah;
190;353;2,4;1,1;83,4;Tiwul  ;sayuran;Jawa Tengah;snack;;Jawa Tengah;
191;189;11,3;15,7;0,6;Tumis bandeng;Ikan;Jawa Timur;main_meal;;Jawa Timur;
192;186;1,9;0,2;44,3;Ubi Cilembu;sayuran;Jawa Barat;main_meal;1;Nasional;
193;303;6,3;2,7;63,3;Wajit camilan;sayuran;DI Yogyakarta;snack;;DI Yogyakarta;
194;355;3,2;15,1;51,4;Wingko babat;sayuran;Jawa Tengah;snack;;Jawa Tengah;
195;420;24;18;40;Ayam Geprek;daging ayam;Jawa Tengah;main_meal;1;Nasional;
196;430;25;19;38;Ayam Goreng;daging ayam;Jawa Timur;main_meal;1;Nasional;
197;390;10;12;55;Nasi Goreng;sayuran;Nasional;main_meal;1;Nasional;
198;410;16;12;58;Mie Ayam;daging ayam;Nasional;main_meal;1;Nasional;
199;320;25;14;12;Sate Ayam;daging ayam;Nasional;main_meal;1;Nasional;
200;280;8;9;38;Pecel;kacang;Jawa Timur;main_meal;1;Nasional;
201;286;11;6;29;Seblak Jeletot;telur;Jawa Barat;main_meal;1;Nasional;
202;292;12;7;33;Seblak Ceker;daging ayam;Jawa Barat;main_meal;1;Nasional;
203;430;25;19;38;Ayam Penyet;daging ayam;Jawa Timur;main_meal;1;Nasional;
204;298;13;8;37;Nasi Lengko;sayuran;Jawa Barat;main_meal;;Jawa Barat;
205;304;14;9;41;Nasi Cikur;sayuran;Jawa Barat;main_meal;;Jawa Barat;
206;310;15;10;45;Nasi Jamblang;sayuran;Jawa Barat;main_meal;;Jawa Barat;
207;316;16;11;49;Doclang;kedelai;Jawa Barat;main_meal;;Jawa Barat;
208;322;17;12;53;Nasi TO;daging sapi;Jawa Barat;main_meal;;Jawa Barat;
209;328;18;13;57;Kupat Tahu Gempol;sayuran;Jawa Barat;main_meal;;Jawa Barat;
210;334;19;14;61;Sega Jamblang;sayuran;Jawa Barat;main_meal;;Jawa Barat;
211;340;20;15;65;Empal Asem;daging sapi;Jawa Barat;main_meal;;Jawa Barat;
212;346;21;16;69;Nasi Boranan;daging ayam;Jawa Timur;main_meal;;Jawa Timur;
213;352;22;17;73;Nasi Babat;daging sapi ;Jawa Timur;main_meal;;Jawa Timur;
214;358;23;18;77;Lontong Tahu Telur;telur;Jawa Timur;main_meal;;Jawa Timur;
215;364;24;19;26;Sego Sambel;sayuran;Jawa Timur;main_meal;;Jawa Timur;
216;257;13;9;31;Lontong Balap;ikan;Jawa Timur;main_meal;1;Nasional;
217;308;16;12;34;Pecel Madiun;kacang;Jawa Timur;main_meal;1;Nasional;
218;359;19;15;37;Batagor;ikan;Jawa Barat;main_meal;1;Nasional;
219;393;21;17;39;Mie Kocok;daging sapi;Jawa Barat;main_meal;;Jawa Barat;
220;410;22;18;40;Nasi Tutug Oncom;kedelai;Jawa Barat;main_meal;1;Jawa Barat;
221;353;25;9;43;Tahu Gimbal;udang;Jawa Tengah;main_meal;1;Nasional;
222;327;12;11;45;Oseng Mercon;daging sapi;DI Yogyakarta;main_meal;1;Nasional;
223;344;13;12;46;Nasi Uduk;santan;DKI Jakarta;main_meal;1;Nasional;
224;361;14;13;47;Ketoprak;kedelai;DKI Jakarta;main_meal;1;Nasional;
225;412;17;16;50;Rabeg;daging kambing ;Banten;main_meal;1;Nasional;
226;327;18;11;39;Nasi Tongkol Bakar Telur;seafood;Jawa Timur;main_meal;;Jawa Timur;
227;344;19;12;40;Nasi Tongkol Bakar Ayam;seafood;Jawa Timur;main_meal;;Jawa Timur;
228;384;15;12;54;Nasi Cumi Hitam Telur;seafood;Jawa Timur;main_meal;;Jawa Timur;
229;411;24;7;63;Nasi Cumi Hitam Sambal Ijo;seafood;Jawa Timur;main_meal;;Jawa Timur;
230;428;25;8;64;Nasi Cumi Hitam Sambal Matah;seafood;Jawa Timur;main_meal;;Jawa Timur;
231;390;31;14;35;Nasi Ayam Serundeng Ayam;daging ayam;Jawa Timur;main_meal;;Jawa Timur;
232;402;19;10;59;Nasi Babat Pedas Sambal Matah;daging sapi;Jawa Timur;main_meal;;Jawa Timur;
233;572;29;20;69;Nasi Paru Mercon Empal;daging sapi;Jawa Timur;main_meal;;Jawa Timur;
234;302;15;10;38;Nasi Paru Mercon Sambal Ijo;daging sapi ;Jawa Timur;main_meal;;Jawa Timur;
235;319;16;11;39;Nasi Paru Mercon Sambal Matah;daging sapi;Jawa Timur;main_meal;;Jawa Timur;
236;421;22;17;45;Nasi Bakar Ayam Suwir Ayam;daging ayam;Jawa Barat;main_meal;1;Nasional;
237;431;30;11;53;Nasi Bakar Ayam Suwir Sambal Ijo;daging ayam ;Jawa Barat;main_meal;;Jawa Barat;
238;448;31;12;54;Nasi Bakar Ayam Suwir Sambal Matah;daging ayam ;Jawa Barat;main_meal;;Jawa Barat;
239;395;16;19;40;Nasi Cokot Suwir Ayam;daging ayam ;Jawa Barat;main_meal;1;Nasional;
240;412;17;20;41;Nasi Cokot Ayam Suwir Tuna;seafood;Jawa Barat;main_meal;;Jawa Barat;
241;504;21;16;69;Nasi Boranan;daging ayam;Jawa Timur;main_meal;;Jawa Timur;
242;533;22;17;73;Nasi Babat;daging sapi ;Jawa Timur;main_meal;;Jawa Timur;
243;562;23;18;77;Lontong Tahu Telur;telur ;Jawa Timur;main_meal;;Jawa Timur;
244;371;24;19;26;Sego Sambel;sayuran ;Jawa Timur;main_meal;;Jawa Timur;
245;265;25;5;30;Soto Madura;ayam;Jawa Timur;main_meal;;Jawa Timur;
246;294;26;6;34;Nasi Buk;daging sapi;Jawa Timur;main_meal;;Jawa Timur;
247;323;27;7;38;Pecel Semanggi;kacang ;Jawa Timur;main_meal;;Jawa Timur;
248;280;10;8;42;Sate Komoh;daging sapi;Jawa Timur;main_meal;;Jawa Timur;
249;309;11;9;46;Nasi Serpang;sayuran;Jawa Timur;main_meal;;Jawa Timur;
250;338;12;10;50;Lontong Kupang;ikan;Jawa Timur;main_meal;;Jawa Timur;
251;367;13;11;54;Asem Asem Daging;daging sapi;Jawa Tengah;main_meal;;Jawa Tengah;
252;396;14;12;58;Nasi Grombyang;daging sapi;Jawa Tengah;main_meal;;Jawa Tengah;
253;425;15;13;62;Sega Ponggol;sayuran;Jawa Tengah;main_meal;;Jawa Tengah;
254;454;16;14;66;Nasi Pindang;daging sapi;Jawa Tengah;main_meal;;Jawa Tengah;
255;483;17;15;70;Gecok Ganem;daging sapi;Jawa Tengah;main_meal;;Jawa Tengah;
256;512;18;16;74;Swikee Purwodadi;daging kodok;Jawa Tengah;main_meal;;Jawa Tengah;
257;541;19;17;78;Mangut Beong;ikan ;DI Yogyakarta;main_meal;;DI Yogyakarta;
258;350;20;18;27;Nasi Blawong;daging ayam;DI Yogyakarta;main_meal;;DI Yogyakarta;
259;379;21;19;31;Gudeg Manggar;daging ayam ;DI Yogyakarta;main_meal;;DI Yogyakarta;
260;273;22;5;35;Nasi Tiwul Komplit;daging ayam;DI Yogyakarta;main_meal;;DI Yogyakarta;
261;302;23;6;39;Sate Kere;daging sapi;DI Yogyakarta;main_meal;;DI Yogyakarta;
262;331;24;7;43;Buntil Daun Pepaya;sayuran ;DI Yogyakarta;main_meal;;DI Yogyakarta;
263;360;25;8;47;Pecak Bandeng;ikan;Banten;main_meal;;Banten;
264;389;26;9;51;Sate Bebek Cibeber;daging bebek;Banten;main_meal;;Banten;
265;418;27;10;55;Sayur Besan;sayuran;Banten;main_meal;;Banten;
266;375;10;11;59;Pecak Lele Banten;ikan;Banten;main_meal;;Banten;
267;404;11;12;63;Laksa Betawi;udang;DKI Jakarta;main_meal;;DKI Jakarta;
268;433;12;13;67;Nasi Ulam Betawi;sayuran ;DKI Jakarta;main_meal;;DKI Jakarta;
269;462;13;14;71;Soto Tangkar;daging sapi;DKI Jakarta;main_meal;;DKI Jakarta;
270;491;14;15;75;Sayur Babanci;daging sapi;DKI Jakarta;main_meal;;DKI Jakarta;
271;520;15;16;79;Semur Jengkol;sayuran;DKI Jakarta;main_meal;1;Nasional;
272;329;16;17;28;Nasi Gemuk Betawi;sayuran;DKI Jakarta;main_meal;;DKI Jakarta;
